Installs,Size Num
"100,000,000+",97000
"100,000,000+",98000
"100,000,000+",70000
"100,000,000+",69000
"10,000,000+",3900
"5,000,000+",7800
"1,000,000+",18000
"100,000,000+",24000
"100,000,000+",62000
"100,000,000+",11000
"10,000,000+",87000
"100,000,000+",99000
"100,000,000+",82000
"100,000,000+",94000
"100,000,000+",96000
"10,000,000+",75000
"1,000,000+",14000
"50,000,000+",59000
"100,000,000+",74000
"10,000,000+",29000
"10,000,000+",17000
"100,000,000+",97000
"100,000,000+",78000
"100,000,000+",63000
"10,000,000+",25000
"5,000,000+",29000
"10,000,000+",72000
"100,000,000+",53000
"100,000,000+",76000
"100,000,000+",33000
"100,000,000+",60000
"100,000,000+",62000
"100,000,000+",78000
"10,000,000+",75000
"50,000,000+",70000
"50,000,000+",99000
"10,000,000+",99000
"50,000,000+",27000
"10,000,000+",70000
"100,000,000+",88000
"10,000,000+",63000
"10,000,000+",82000
"5,000,000+",48000
"10,000,000+",31000
"50,000,000+",23000
"10,000,000+",59000
"10,000,000+",39000
"10,000,000+",54000
"10,000,000+",48000
"10,000,000+",30000
"10,000,000+",66000
"100,000,000+",32000
"1,000,000+",50000
"100,000,000+",53000
"1,000,000+",61000
"1,000,000+",49000
"5,000,000+",38000
"10,000,000+",20000
"10,000,000+",66000
"100,000,000+",57000
"5,000,000+",95000
"100,000+",32000
"50,000,000+",33000
"5,000,000+",66000
"50,000,000+",75000
"10,000,000+",29000
"100,000,000+",74000
"100,000,000+",69000
"5,000,000+",7800
"100,000,000+",33000
"100,000,000+",52000
"10,000,000+",50000
"10,000,000+",46000
"10,000,000+",12000
"5,000,000+",41000
"10,000,000+",63000
"100,000,000+",53000
"100,000,000+",63000
"50,000,000+",99000
"10,000,000+",20000
"100,000,000+",11000
"10,000,000+",75000
"10,000,000+",13000
"100,000,000+",46000
"50,000,000+",78000
"100,000,000+",49000
"1,000,000+",14000
"100,000,000+",100000
"100,000,000+",97000
"5,000,000+",15000
"10,000,000+",33000
"50,000,000+",70000
"10,000,000+",10000
"10,000,000+",77000
"5,000,000+",4900
"10,000,000+",25000
"100,000,000+",96000
"5,000,000+",23000
"10,000,000+",51000
"100,000,000+",96000
"100,000,000+",70000
"50,000,000+",38000
"10,000,000+",24000
"10,000,000+",20000
"100,000,000+",67000
"1,000,000+",19000
"5,000,000+",51000
"5,000,000+",22000
"1,000,000+",46000
"1,000,000+",21000
"5,000,000+",39000
"1,000,000+",23000
"100,000+",26000
"5,000,000+",39000
"50,000,000+",24000
"1,000,000+",15000
"500,000+",20000
"10,000,000+",24000
"500,000+",44000
"5,000,000+",38000
"1,000,000+",52000
"500,000+",14000
"10,000,000+",49000
"500,000+",8900
"50,000,000+",56000
"10,000,000+",99000
"1,000,000+",10000
"10,000,000+",6900
"5,000,000+",20000
"1,000,000+",10000
"5,000,000+",19000
"500,000+",33000
"10,000,000+",85000
"1,000,000+",48000
"1,000,000+",9600
"10,000,000+",15000
"10,000,000+",50000
"10,000,000+",51000
"1,000,000+",24000
"10,000,000+",13000
"1,000,000+",16000
"100,000+",63000
"5,000,000+",15000
"100,000+",26000
"10,000+",81000
"5,000+",79000
"100,000+",94000
"1,000,000+",46000
"1,000,000+",43000
"5,000,000+",45000
"1,000,000+",91000
"1,000,000+",91000
"1,000,000+",53000
"1,000,000+",28000
"5,000,000+",26000
"500,000+",56000
"500,000+",80000
"1,000,000+",60000
"50,000+",67000
"1,000,000+",78000
"1,000,000+",27000
"100,000+",63000
"100,000+",26000
"500,000+",46000
"500,000+",83000
"5,000+",60000
"1,000+",44000
500+,82000
"100,000,000+",67000
"10,000,000+",99000
"10,000,000+",24000
"1,000,000+",78000
"10,000,000+",51000
"1,000,000+",94000
"5,000,000+",16000
"500,000+",93000
"10,000,000+",77000
"1,000,000+",32000
"1,000,000+",58000
"100,000+",48000
"50,000+",69000
"50,000,000+",73000
"500,000+",99000
"10,000,000+",16000
"500,000+",54000
"1,000,000+",56000
"10,000,000+",68000
"1,000,000+",25000
"100,000+",7000
"5,000,000+",54000
"1,000,000+",51000
"10,000,000+",48000
"1,000,000+",44000
"10,000,000+",8700
"10,000,000+",91000
"50,000,000+",97000
"10,000,000+",26000
"5,000,000+",16000
"10,000,000+",53000
"5,000,000+",95000
"10,000,000+",83000
"1,000,000+",78000
"50,000,000+",56000
"1,000,000+",21000
"10,000,000+",26000
"1,000,000+",60000
"10,000,000+",22000
"5,000,000+",95000
"10,000,000+",48000
"10,000,000+",58000
"10,000,000+",91000
"5,000,000+",22000
"1,000,000+",36000
"50,000,000+",37000
"1,000,000+",70000
"10,000,000+",34000
"500,000+",49000
"500,000+",9800
"500,000+",37000
"100,000+",55000
"1,000,000+",84000
"10,000+",16000
"10,000,000+",92000
"500,000+",57000
"500,000+",24000
"10,000+",6900
"10,000+",44000
"1,000+",11000
"10,000,000+",16000
"5,000,000+",17000
"1,000,000+",18000
"1,000,000+",16000
"1,000,000+",19000
"100,000+",1600
"100,000+",47000
"50,000+",16000
"500,000+",14000
"5,000,000+",75000
"1,000+",25000
"100,000+",5700
"50,000+",17000
"1,000+",3500
100+,16000
100+,42000
"1,000+",47000
"5,000+",67000
"5,000+",26000
"1,000+",72000
"10,000+",37000
"10,000+",1200
"5,000+",17000
"10,000,000+",19000
"1,000,000+",23000
"1,000,000+",25000
"1,000,000+",83000
"100,000+",94000
"100,000+",97000
"100,000+",37000
"5,000,000+",92000
"100,000+",48000
"1,000+",12000
"10,000+",15000
"10,000+",83000
"50,000+",9500
"10,000,000+",19000
"1,000,000+",23000
"1,000,000+",25000
"1,000,000+",83000
"100,000+",94000
"100,000+",97000
"100,000+",37000
"5,000,000+",92000
"100,000+",48000
"1,000+",12000
"10,000+",15000
"10,000+",83000
"50,000+",9500
"100,000,000+",67000
"5,000,000+",63000
"10,000,000+",49000
"5,000,000+",14000
"10,000,000+",58000
"5,000,000+",22000
"5,000,000+",15000
"5,000,000+",50000
"10,000,000+",59000
"10,000,000+",34000
"1,000,000+",54000
"10,000,000+",53000
"50,000,000+",37000
"10,000,000+",25000
"5,000,000+",26000
"1,000,000+",61000
"10,000,000+",58000
"5,000,000+",91000
"1,000,000+",17000
"1,000,000+",83000
"1,000,000+",17000
"1,000,000+",64000
"1,000,000+",41000
"5,000,000+",58000
"5,000,000+",23000
"10,000,000+",71000
"1,000,000+",23000
"100,000+",12000
"10,000+",704
"10,000+",2900
"10,000+",25000
"10,000+",20000
"5,000+",21000
"5,000+",5400
"100,000+",25000
"50,000+",42000
"1,000+",32000
"10,000+",1800
"50,000+",33000
"1,000+",3800
"1,000+",5800
"10,000+",9500
"1,000+",19000
"1,000+",5000
100+,23000
"5,000+",862
"5,000+",9900
500+,24000
"1,000+",2400
"10,000+",899
"1,000+",38000
100+,6500
"1,000+",14000
500+,1200
"5,000+",48000
"1,000+",378
500+,22000
"1,000+",4800
"10,000+",25000
"1,000+",266
"10,000+",375
100+,62000
"1,000+",1200
"10,000+",2800
"1,000+",95000
"1,000+",2600
100+,4600
"1,000+",5100
"1,000+",1800
"1,000+",53000
"10,000+",39000
50+,5300
"1,000+",14000
"10,000+",8400
"1,000+",18000
"1,000+",41000
500+,100000
500+,3400
"1,000+",68000
"5,000+",2600
"1,000,000+",11000
"1,000,000+",37000
"1,000,000+",9800
"500,000+",23000
"50,000+",18000
"5,000,000+",7400
"1,000,000+",11000
"100,000+",23000
"500,000+",34000
"10,000+",15000
"1,000,000+",13000
"500,000+",24000
"500,000+",20000
"5,000,000+",14000
"50,000+",69000
"500,000+",38000
"1,000,000+",26000
"500,000+",2600
"100,000+",21000
"100,000+",38000
"100,000+",16000
"100,000+",21000
"500,000+",10000
"100,000+",22000
"1,000,000+",14000
"1,000,000+",36000
"50,000+",16000
"1,000,000+",61000
"100,000+",11000
"100,000+",8500
"100,000+",37000
"50,000+",22000
"100,000+",17000
"100,000+",7700
"1,000+",39000
"500,000+",30000
"1,000,000+",3700
"10,000+",28000
"1,000,000+",16000
"1,000+",20000
"100,000+",8900
"500,000+",97000
"100,000+",12000
"50,000+",72000
"10,000+",21000
"100,000+",27000
"5,000+",5700
"100,000+",6600
"100,000+",12000
"100,000+",5900
"5,000+",20000
"100,000+",15000
"100,000+",26000
"100,000+",3300
"50,000+",44000
"1,000+",32000
"100,000+",12000
"1,000,000+",36000
"5,000+",17000
"10,000+",5800
"10,000+",11000
"50,000+",16000
"100,000+",25000
"10,000+",6100
"100,000+",22000
"50,000+",28000
"10,000+",6300
"10,000+",25000
"50,000+",60000
"10,000+",20000
"10,000+",8000
"10,000+",20000
"50,000+",6400
"100,000+",34000
"1,000+",3800
"50,000+",42000
"1,000+",2400
"5,000+",70000
"1,000+",5000
"1,000+",28000
"1,000+",21000
"100,000+",38000
"100,000+",74000
"10,000+",1800
"5,000+",12000
"10,000+",13000
"10,000+",2900
"5,000+",48000
"1,000+",19000
"1,000+",68000
"1,000+",6800
"5,000+",12000
"10,000+",5800
"1,000+",41000
"10,000+",25000
"5,000+",42000
100+,6500
"1,000+",13000
"10,000+",1500
"10,000+",3200
"5,000+",7700
100+,1300
"50,000+",26000
"5,000+",5400
"1,000+",11000
"10,000+",9500
100+,62000
"1,000+",18000
10-,3100
50+,1800
10+,66000
10-,5000
500+,2900
100+,22000
500+,16000
"1,000+",19000
50+,40000
100+,23000
100+,15000
10+,29000
10+,16000
100+,65000
100+,29000
10+,20000
100+,3800
50+,19000
10+,25000
100+,5100
"1,000+",16000
10+,1500
100+,10000
10+,22000
500+,3600
50+,20000
100+,20000
10+,13000
10-,2500
10+,3600
50+,24000
10+,10000
10-,25000
50+,29000
100+,17000
10+,53000
10+,83000
10-,4600
10+,4600
10+,28000
10-,29000
100+,46000
"5,000+",5700
10-,1400
10+,12000
10+,2200
10+,27000
10-,18000
50+,30000
10-,3500
10+,4200
50+,6900
10-,6600
100+,7000
100+,11000
10+,5600
10-,29000
100+,3300
10+,20000
100+,7000
10+,3300
10-,29000
10-,7100
"500,000+",23000
"100,000+",24000
"1,000,000+",14000
"1,000,000+",13000
"10,000+",34000
"1,000+",4300
"10,000+",43000
"50,000+",69000
"50,000+",22000
"1,000+",20000
"1,000+",25000
"100,000+",2000
50+,40000
"100,000+",37000
"10,000+",40000
500+,4300
"5,000+",5700
"10,000+",4000
"50,000+",17000
"100,000+",11000
"1,000+",4400
"100,000+",15000
"100,000+",2300
"5,000+",40000
"1,000,000+",8400
"10,000+",11000
500+,2900
"1,000+",2400
"5,000+",15000
"10,000+",24000
10+,29000
"500,000+",24000
100+,22000
"10,000+",86000
"100,000+",22000
100+,11000
"5,000+",975
"10,000+",980
"10,000+",6000
"50,000+",20000
"1,000+",26000
"1,000+",13000
100+,23000
"1,000+",2700
"50,000+",4200
"50,000+",28000
100+,6100
"1,000+",15000
"50,000+",1200
"10,000+",37000
"100,000+",5900
"1,000+",14000
"10,000+",2300
500+,32000
"100,000+",2700
"5,000+",2200
"1,000,000+",26000
"10,000,000+",4000
"1,000,000+",1500
"100,000+",3700
"1,000,000+",2800
"1,000,000+",3900
"1,000,000+",3100
"100,000+",2800
"1,000,000+",20000
"5,000,000+",9900
"5,000,000+",5300
"1,000,000+",10000
"5,000,000+",2600
"5,000,000+",31000
"1,000,000+",2300
"500,000+",6000
"5,000,000+",17000
"50,000+",20000
"10,000,000+",62000
"5,000,000+",15000
"1,000,000+",18000
"10,000,000+",5400
"10,000,000+",2800
"10,000,000+",15000
"10,000,000+",5300
"1,000,000+",37000
"5,000,000+",23000
"10,000,000+",28000
"10,000,000+",35000
"50,000,000+",76000
"50,000,000+",34000
"5,000,000+",2700
"100,000+",4100
"10,000,000+",85000
"10,000,000+",15000
"500,000+",89000
"5,000,000+",20000
"1,000,000+",9300
"50,000,000+",76000
"50,000,000+",34000
"5,000,000+",16000
"1,000,000+",8400
"5,000,000+",20000
"50,000,000+",76000
"10,000,000+",68000
"10,000,000+",13000
"100,000+",50000
"5,000,000+",23000
"10,000,000+",28000
"100,000+",7000
"5,000,000+",23000
"50,000,000+",76000
"10,000,000+",68000
"10,000,000+",13000
"10,000,000+",56000
"1,000,000+",8400
"5,000,000+",23000
"10,000,000+",22000
"100,000,000+",15000
"10,000,000+",30000
"10,000,000+",30000
"5,000,000+",27000
"50,000,000+",20000
"100,000,000+",42000
"50,000,000+",18000
"1,000,000+",4200
"5,000,000+",30000
"5,000,000+",33000
"1,000,000+",7900
"1,000,000+",12000
"10,000,000+",15000
"10,000,000+",10000
"10,000,000+",9900
"1,000,000+",9000
"10,000,000+",21000
"1,000,000+",13000
"10,000,000+",11000
"1,000,000+",21000
"10,000,000+",8100
"10,000,000+",12000
"10,000,000+",7300
"10,000,000+",15000
"10,000,000+",22000
"10,000,000+",11000
"10,000,000+",8300
"10,000,000+",20000
"10,000,000+",38000
"10,000,000+",9100
"10,000,000+",24000
"1,000,000+",29000
"1,000,000+",98000
"1,000,000+",25000
"1,000,000+",18000
"500,000+",6100
"500,000+",14000
"1,000,000+",21000
"10,000,000+",43000
"100,000,000+",15000
"1,000,000+",23000
"10,000,000+",52000
"5,000,000+",57000
"10,000,000+",20000
"1,000,000+",40000
"10,000,000+",17000
"10,000,000+",13000
"50,000+",33000
"1,000,000+",18000
"5,000,000+",29000
"1,000,000+",31000
"10,000,000+",20000
"100,000+",13000
"500,000+",7300
"500,000+",12000
"500,000+",8800
"5,000,000+",18000
"500,000+",14000
"100,000+",21000
"10,000,000+",43000
"1,000,000+",34000
"100,000,000+",15000
"5,000,000+",26000
"5,000,000+",34000
"1,000,000+",2700
"10,000,000+",52000
"5,000,000+",29000
"5,000,000+",20000
"500,000+",23000
"100,000,000+",42000
"10,000,000+",16000
"1,000,000+",12000
"1,000,000+",6500
"10,000,000+",15000
"10,000,000+",17000
"10,000,000+",24000
"10,000,000+",22000
"10,000,000+",15000
"5,000,000+",18000
"500,000+",8800
"500,000+",14000
"1,000,000+",2700
"5,000,000+",29000
"5,000,000+",20000
"1,000,000+",6500
"10,000,000+",15000
"500,000+",6200
"1,000,000+",19000
"10,000,000+",27000
"100,000+",1100
"1,000,000+",2700
"1,000,000+",16000
"100,000+",8800
"1,000,000+",12000
"10,000,000+",24000
"5,000,000+",56000
"100,000,000+",15000
"5,000,000+",18000
"500,000+",14000
"10,000,000+",22000
"1,000,000+",28000
"5,000,000+",59000
"1,000,000+",37000
"500,000+",36000
"50,000+",9500
"1,000,000+",82000
"1,000,000+",28000
"5,000,000+",9700
"10,000,000+",22000
"10,000,000+",17000
"1,000,000+",7700
"1,000,000+",11000
"100,000+",21000
"5,000,000+",19000
"5,000,000+",8700
"1,000,000+",30000
"1,000,000+",25000
"5,000,000+",17000
"500,000+",13000
"10,000,000+",23000
"500,000+",22000
"1,000,000+",9100
"1,000,000+",8300
"1,000,000+",19000
"100,000,000+",53000
"10,000,000+",17000
"1,000,000+",10000
"5,000,000+",29000
"10,000,000+",46000
"1,000,000+",4500
"1,000,000+",4900
"10,000,000+",24000
"10,000,000+",23000
"100,000,000+",25000
"10,000,000+",26000
"10,000,000+",2000
"1,000,000+",19000
"5,000,000+",9600
"5,000,000+",13000
"10,000,000+",4200
"10,000,000+",16000
"5,000,000+",59000
"10,000,000+",9500
"100,000,000+",53000
"10,000,000+",6600
"10,000,000+",27000
"1,000,000+",22000
"50,000,000+",50000
"1,000,000+",30000
"1,000,000+",17000
"1,000,000+",18000
"1,000,000+",10000
"1,000,000+",9900
"5,000,000+",23000
"100,000,000+",51000
"10,000,000+",35000
"1,000,000+",16000
"10,000,000+",11000
"5,000,000+",74000
"1,000,000+",48000
"5,000,000+",13000
"10,000,000+",4200
"10,000,000+",16000
"5,000,000+",59000
"10,000,000+",5600
"10,000,000+",1500
"10,000,000+",5700
"5,000,000+",6100
"1,000,000+",1900
"10,000,000+",4000
"10,000,000+",47000
"10,000,000+",2000
"10,000,000+",9500
"1,000,000+",22000
"50,000,000+",14000
"5,000,000+",10000
"100,000+",6900
"10,000,000+",44000
"100,000,000+",51000
"1,000,000+",48000
"50,000,000+",43000
"50,000,000+",21000
"10,000,000+",25000
"5,000,000+",3900
"10,000,000+",4000
"10,000,000+",51000
"1,000,000+",9600
"10,000,000+",9500
"1,000,000+",50000
"50,000,000+",21000
"50,000,000+",31000
"10,000,000+",27000
"100,000,000+",53000
"100,000,000+",34000
"10,000,000+",12000
"50,000,000+",50000
"100,000,000+",47000
"5,000,000+",9200
"100,000,000+",51000
"1,000,000+",48000
"10,000,000+",24000
"1,000,000+",1600
"10,000,000+",17000
"5,000,000+",31000
"5,000,000+",59000
"10,000,000+",46000
"100,000,000+",53000
"10,000,000+",45000
"100,000+",9800
"10,000,000+",34000
"10,000,000+",20000
"500,000+",19000
"10,000,000+",6000
"5,000,000+",15000
"5,000,000+",6500
"5,000,000+",6200
"5,000,000+",14000
"1,000,000+",6100
"10,000,000+",17000
"5,000,000+",24000
"10,000,000+",13000
"5,000,000+",10000
"100,000+",10000
"1,000,000+",6900
"1,000,000+",31000
"100,000+",28000
"500,000+",2600
"500,000+",30000
"500,000+",13000
"1,000,000+",27000
"10,000,000+",29000
"100,000+",18000
"5,000,000+",35000
"100,000+",17000
"500,000+",18000
"100,000+",3000
"1,000,000+",32000
"500,000+",24000
"5,000,000+",10000
"10,000,000+",34000
"10,000,000+",6600
"1,000,000+",27000
"5,000,000+",25000
"10,000,000+",6600
"100,000+",24000
"1,000,000+",25000
"100,000+",33000
"1,000,000+",88000
"100,000+",9300
"100,000+",84000
"50,000+",4700
"500,000+",25000
"100,000+",12000
"100,000+",9900
"1,000,000+",61000
"50,000+",25000
"1,000,000+",52000
"1,000,000+",57000
"1,000,000+",41000
"1,000,000+",4600
"5,000,000+",10000
"1,000,000+",23000
"1,000,000+",27000
"1,000,000+",33000
"10,000+",4700
"50,000+",2200
"1,000,000+",95000
"10,000,000+",34000
"100,000+",9400
"1,000,000+",19000
"10,000+",3900
"10,000,000+",34000
"500,000+",21000
"1,000,000+",19000
"10,000,000+",6600
"5,000,000+",82000
"5,000,000+",19000
"500,000+",26000
"500,000+",5200
"500,000+",16000
"1,000,000+",33000
"10,000,000+",6000
"10,000,000+",25000
"10,000,000+",34000
"100,000+",8100
"10,000,000+",35000
"500,000+",25000
"1,000,000+",19000
"5,000,000+",48000
"1,000,000+",21000
"10,000,000+",6600
"1,000,000+",32000
"5,000,000+",82000
"1,000,000+",23000
"1,000,000+",52000
"10,000,000+",14000
"1,000,000+",25000
"1,000,000+",58000
"10,000,000+",19000
"10,000,000+",29000
"500,000+",81000
"1,000,000+",28000
"5,000,000+",7600
"5,000,000+",33000
"10,000,000+",42000
"5,000,000+",8300
"10,000,000+",14000
"10,000,000+",37000
"10,000,000+",14000
"1,000,000+",21000
"1,000,000+",28000
"1,000,000+",27000
"500,000+",39000
"100,000+",17000
"5,000,000+",39000
"1,000,000+",51000
"1,000,000+",86000
"10,000,000+",26000
"5,000,000+",46000
"10,000,000+",29000
"10,000,000+",27000
"1,000,000+",14000
"5,000,000+",10000
"1,000,000+",71000
"5,000,000+",15000
"1,000,000+",11000
"1,000,000+",62000
"5,000,000+",80000
"10,000,000+",5400
"10,000,000+",9800
"1,000+",7600
"100,000+",26000
"5,000,000+",13000
"1,000,000+",62000
"1,000,000+",10000
"5,000,000+",15000
"5,000,000+",80000
"10,000,000+",14000
"100,000+",57000
"1,000,000+",51000
"5,000,000+",8300
"5,000,000+",24000
"1,000,000+",29000
"1,000,000+",3100
"5,000,000+",46000
"1,000,000+",55000
"10,000,000+",19000
"5,000,000+",19000
"1,000,000+",40000
"10,000,000+",29000
"1,000,000+",43000
"10,000,000+",50000
"1,000,000+",13000
"5,000,000+",15000
"100,000+",4000
"10,000,000+",14000
"10,000,000+",19000
"10,000,000+",29000
"1,000,000+",44000
"1,000,000+",22000
"1,000,000+",28000
"5,000,000+",12000
"1,000,000+",46000
"100,000+",7600
"10,000,000+",29000
"10,000,000+",4100
"1,000,000+",8500
"5,000,000+",31000
"1,000,000+",4100
"500,000+",22000
"1,000,000+",28000
"10,000,000+",5900
"50,000,000+",3900
"100,000,000+",15000
"1,000,000+",4300
"10,000,000+",5300
"50,000,000+",16000
"10,000,000+",7500
"1,000,000+",3700
"100,000+",5800
"100,000,000+",17000
"10,000,000+",8500
"5,000,000+",9100
"10,000,000+",7600
"100,000,000+",2500
"10,000,000+",15000
"10,000,000+",6100
"10,000,000+",17000
"1,000,000+",58000
"500,000+",4600
"10,000,000+",16000
"10,000,000+",1300
"50,000+",2300
"100,000+",1900
"100,000+",2700
"10,000,000+",16000
"10,000,000+",11000
"1,000,000+",5300
"1,000,000+",4200
"50,000,000+",9100
"10,000,000+",4300
"5,000,000+",1800
"10,000,000+",8500
"5,000,000+",4400
"50,000,000+",3800
"5,000,000+",11000
"5,000,000+",11000
"1,000,000+",7400
"1,000,000+",5300
"1,000,000+",5400
"1,000,000+",3600
"10,000,000+",4300
"5,000,000+",27000
"100,000+",1800
"1,000,000+",3300
"100,000+",2000
"50,000,000+",6100
"5,000,000+",9600
"1,000,000+",9600
"1,000,000+",10000
"50,000,000+",8200
"10,000,000+",14000
"1,000,000+",25000
"1,000,000+",9900
"5,000,000+",22000
"10,000,000+",8900
"10,000,000+",2400
"50,000,000+",25000
"10,000,000+",1800
"1,000,000+",17000
"10,000,000+",4100
"1,000,000+",18000
"1,000,000+",14000
"1,000,000+",696
"10,000,000+",4700
"10,000,000+",8100
"10,000,000+",7900
"1,000,000+",4600
"1,000,000+",544
"10,000,000+",3500
"10,000,000+",525
"1,000,000+",2100
"1,000,000+",14000
"5,000,000+",8700
"100,000+",21000
"5,000,000+",12000
"1,000,000+",18000
"100,000,000+",17000
"500,000+",3800
"1,000,000+",23000
"1,000,000+",14000
"50,000,000+",15000
"1,000,000+",9900
"10,000,000+",12000
"10,000,000+",12000
"10,000,000+",20000
"10,000,000+",7400
"10,000,000+",3000
"10,000,000+",14000
"100,000,000+",14000
"10,000,000+",7200
"10,000,000+",22000
"500,000+",7200
"10,000,000+",26000
"1,000,000+",38000
"1,000,000+",3900
"1,000,000+",5400
"10,000,000+",9800
"100,000,000+",7600
"500,000+",1100
"1,000,000+",9100
"1,000,000+",6800
"10,000,000+",12000
"5,000,000+",3300
"5,000,000+",12000
"500,000+",9800
"500,000+",920
"5,000,000+",14000
"100,000+",6800
"500,000+",27000
"100,000+",7400
"10,000,000+",29000
"1,000,000+",5900
"1,000,000+",14000
"1,000,000+",14000
"1,000,000+",26000
"1,000,000+",1900
"5,000,000+",3900
"10,000+",779
"10,000,000+",5100
"5,000,000+",10000
"10,000,000+",13000
"5,000,000+",4000
"1,000,000+",5400
"10,000,000+",3300
"10,000,000+",4300
"10,000,000+",853
"10,000,000+",21000
"10,000,000+",6400
"10,000,000+",8600
"10,000,000+",2100
"5,000,000+",7100
"1,000,000+",3300
"5,000,000+",3500
"50,000,000+",4100
"1,000,000+",9700
"1,000,000+",3300
"1,000,000+",7100
"1,000,000+",8400
"5,000,000+",7000
"1,000,000+",5500
"10,000,000+",13000
"10,000+",5900
"10,000,000+",24000
"10,000,000+",6200
"1,000,000+",6900
"1,000,000+",6100
"10,000,000+",24000
"10,000,000+",4100
"100,000,000+",50000
"5,000,000+",11000
"1,000,000+",5100
"10,000,000+",1300
"5,000,000+",2300
"100,000,000+",16000
"1,000,000+",15000
"100,000,000+",61000
"10,000,000+",1600
"5,000,000+",49000
"5,000,000+",7200
"50,000,000+",1500
"5,000,000+",49000
"50,000,000+",14000
"1,000,000+",1200
"1,000,000+",10000
"500,000+",4300
"1,000,000+",3800
"10,000,000+",32000
"1,000,000+",4500
"1,000,000+",8400
"10,000,000+",12000
"1,000,000+",25000
"5,000,000+",12000
"10,000,000+",7100
"100,000,000+",16000
"1,000,000+",6500
"50,000,000+",9200
"100,000+",720
"5,000,000+",2200
"1,000,000+",4100
"10,000,000+",60000
"100,000,000+",37000
"1,000,000+",713
"5,000,000+",4700
"1,000,000+",6600
"10,000,000+",2500
"1,000,000+",19000
"10,000,000+",4200
"1,000,000+",11000
"10,000,000+",12000
"1,000,000+",5700
"1,000,000+",9000
"1,000,000+",6900
"1,000,000+",8400
"5,000,000+",1900
"5,000,000+",15000
"100,000+",11000
"100,000,000+",61000
"1,000,000+",4100
"1,000,000+",3800
"5,000,000+",3800
"10,000+",2800
"10,000+",8200
"1,000,000+",3300
"10,000+",6200
"10,000+",85000
"100,000+",14000
"10,000+",95000
"5,000+",5500
"1,000,000+",42000
"50,000+",15000
"50,000+",98000
"100,000+",6400
"1,000,000+",2800
"100,000+",6500
"10,000+",3600
"1,000,000+",2400
"1,000,000+",3400
"10,000+",1500
"50,000+",5000
"10,000+",6600
"100,000+",59000
"100,000+",6800
"100,000+",24000
"100,000+",6600
"10,000+",4900
"100,000+",9100
"1,000,000+",11000
"5,000+",5800
"500,000+",24000
"100,000+",4400
"10,000+",16000
"500,000+",11000
"10,000+",4900
"100,000+",11000
"1,000,000+",53000
"100,000+",20000
"100,000+",38000
"10,000+",4900
"100,000+",17000
"1,000,000+",37000
"1,000,000+",5200
"100,000+",28000
"100,000+",71000
"1,000,000+",46000
"100,000+",16000
"10,000+",18000
"1,000,000+",18000
"1,000,000+",10000
"10,000+",17000
"1,000,000+",9700
"1,000,000+",21000
"1,000,000+",3200
"10,000,000+",15000
"5,000,000+",44000
"500,000+",4800
"1,000,000+",10000
"5,000,000+",54000
"5,000,000+",9100
"1,000,000+",19000
"10,000,000+",12000
"1,000,000+",19000
"1,000,000+",7600
"10,000,000+",38000
"500,000+",6100
"1,000,000+",9200
"100,000+",11000
"1,000,000+",9200
"500,000+",20000
"500,000+",22000
"1,000,000+",5300
"1,000,000+",5600
"10,000,000+",5400
"1,000,000+",2900
"1,000,000+",25000
"100,000,000+",23000
"100,000+",7200
"500,000+",3300
"50,000,000+",17000
"1,000,000+",6000
"1,000,000+",33000
"10,000,000+",3100
"1,000,000+",4100
"5,000,000+",27000
"1,000,000+",44000
"10,000,000+",13000
"10,000,000+",3000
"50,000,000+",6100
"1,000,000+",64000
"50,000,000+",47000
"1,000,000+",5400
"1,000,000+",27000
"10,000,000+",50000
"1,000,000+",4000
500+,13000
"1,000,000+",44000
"10,000+",2500
"100,000+",23000
"5,000,000+",23000
"10,000,000+",14000
"1,000,000+",89000
"1,000,000+",16000
"1,000,000+",26000
"1,000,000+",11000
"1,000,000+",56000
"10,000,000+",25000
"10,000,000+",17000
"1,000,000+",9100
"10,000,000+",11000
"1,000,000+",15000
"500,000+",9700
"1,000,000+",5500
"10,000,000+",6700
"100,000+",2900
"100,000,000+",13000
"10,000,000+",8500
"10,000,000+",25000
"10,000,000+",12000
"500,000+",6300
"500,000+",6300
"1,000,000+",19000
"1,000,000+",31000
"5,000,000+",9000
"5,000,000+",25000
"50,000+",4600
"1,000,000+",8000
"1,000,000+",23000
"1,000,000+",9800
"1,000,000+",8700
"1,000,000+",12000
"5,000,000+",10000
"1,000,000+",19000
"500,000+",6600
"10,000+",14000
"1,000,000+",8600
"100,000,000+",13000
"5,000,000+",13000
"100,000+",10000
"1,000,000+",7500
"1,000,000+",36000
"1,000,000+",8200
"5,000,000+",22000
"10,000,000+",23000
"1,000,000+",14000
"1,000,000+",25000
"10,000,000+",27000
"1,000,000+",35000
"500,000+",8600
"1,000,000+",4600
"10,000,000+",25000
"1,000,000+",12000
"10,000,000+",18000
"10,000,000+",3100
"1,000,000+",14000
"1,000,000+",23000
"1,000,000+",8800
"1,000,000+",35000
"1,000,000+",36000
"10,000,000+",25000
"10,000,000+",12000
"10,000,000+",23000
"100,000,000+",13000
"5,000,000+",13000
"10,000,000+",22000
"1,000,000+",43000
"50,000,000+",33000
"500,000+",32000
"1,000,000+",6800
"1,000,000+",4000
"10,000,000+",3700
"100,000+",3400
"5,000,000+",48000
